SKU,Name1,Name2
SKU20240413_174610_MOTORCYCLES ARE EVERYWHERE,MOTORCYCLES ARE,EVERYWHERE
SKU20240413_174611_MY BODY MY CHOICE,MY BODY MY,CHOICE
SKU20240413_174612_LOVE ONE ANOTHER,LOVE ONE,ANOTHER
SKU20240413_174613_GOD BLESS TEXAS,GOD BLESS,TEXAS
SKU20240413_174614_KEEP YOUR LAWS OFF MY BODY,KEEP YOUR LAWS,OFF MY BODY
SKU20240413_174616_THINK WHILE ITS STILL LEGAL,THINK WHILE ITS,STILL LEGAL
SKU20240413_174617_HONK IF YOU THINK IM SEXY,HONK IF YOU,THINK I'M SEXY
SKU20240413_174618_NO HUMAN BEING IS ILLEGAL,NO HUMAN BEING,IS ILLEGAL
SKU20240413_174619_I NEVER LOSE I EITHER WIN OR LEARN,I NEVER LOSE I,EITHER WIN OR LEARN
SKU20240413_174620_THE CLOSER YOU GET THE SLOWER I GO,"THE CLOSER YOU GET,",THE SLOWER I GO
SKU20240413_174621_MY SON IS IN THE AIR FORCE,MY SON IS IN,THE AIR FORCE
SKU20240413_174622_WISHING I WAS FISHING,WISHING I,WAS FISHING
SKU20240413_174623_IM SO GAY I CANT EVEN DRIVE STRAIGHT,I'M SO GAY I CANT,EVEN DRIVE STRAIGHT
SKU20240413_174624_I PARK LIKE AN IDIOT,I PARK LIKE,AN IDIOT
SKU20240413_174625_BE THE PERSON YOUR DOG THINKS YOU ARE,BE THE PERSON YOUR,DOG THINKS YOU ARE
SKU20240413_174626_HAVE COURAGE AND BE KIND,HAVE COURAGE,AND BE KIND
SKU20240413_174627_THATS WHAT SHE SAID,THAT'S WHAT,SHE SAID
SKU20240413_174628_THE MOUNTAINS ARE CALLING AND I MUST GO,THE MOUNTAINS ARE,CALLING AND I MUST GO
SKU20240413_174629_I VOTED FOR TRUMP,I VOTED,FOR TRUMP
SKU20240413_174630_PROUD ARMY SISTER,PROUD ARMY,SISTER
SKU20240413_174631_ITS ALWAYS SUNNY,IT'S,ALWAYS SUNNY
SKU20240413_174632_THIS MACHINE KILLS FASCISTS,THIS MACHINE,KILLS FASCISTS
SKU20240413_174633_A WOMANS PLACE IS IN THE RESISTANCE,A WOMANS PLACE IS,IN THE RESISTANCE
SKU20240413_174634_FACTS DONT CARE ABOUT YOUR FEELINGS,FACTS DON'T CARE,ABOUT YOUR FEELINGS
SKU20240413_174635_TRUMP WON GET OVER IT,TRUMP WON,GET OVER IT
SKU20240413_174636_THANK YOU TRUCKERS,THANK YOU,TRUCKERS
SKU20240413_174637_TO ALL THE BOYS IVE LOVED BEFORE,TO ALL THE BOYS,I'VE LOVED BEFORE
SKU20240413_174638_HIS FAVORITE HER FAVORITE,HIS FAVORITE,HER FAVORITE
SKU20240413_174639_IM A DOG TOO,I'M A,DOG TOO
SKU20240413_174640_MY DOG THINKS IM COOL,MY DOG THINKS,I'M COOL
SKU20240413_174641_TWO THINGS I DO WELL MAKE DOGS HAPPY AND PISS PEOPLE OFF,"TWO THINGS I DO WELL, MAKE",DOGS HAPPY AND PISS PEOPLE OFF
SKU20240413_174642_IF I CANT BRING MY DOG IM NOT GOING,IF I CAN'T BRING MY,DOG I'M NOT GOING
SKU20240413_174643_YOU KNOW WHAT I LIKE ABOUT PEOPLE THEIR DOGS,YOU KNOW WHAT I LIKE,ABOUT PEOPLE? THEIR DOGS
SKU20240413_174644_IM ONLY TALKING TO MY DOG TODAY,I'M ONLY TALKING,TO MY DOG TODAY
SKU20240413_174645_MY DOGS AND I TALK SHIT ABOUT YOU,MY DOGS AND I TALK,SHIT ABOUT YOU
SKU20240413_174646_MY DOG ISNT SPOILED IM JUST WELL TRAINED,"MY DOG ISN'T SPOILED,",I'M JUST WELL TRAINED
SKU20240413_174647_THE MORE PEOPLE I MEET THE MORE I LIKE MY DOG,THE MORE PEOPLE I MEET,THE MORE I LIKE MY DOG
